Symbol,ISIN,Quantity,Buy Value,Sell Value,Realized P&L,Realized P&L Pct.,Previous Closing Price,Open Quantity,Open Quantity Type,Open Value,Unrealized P&L,Unrealized P&L Pct.,Year
CDSL,INE736A01011,116,146904.55,234189.3,87284.75,59.416,0,0,,0,0,0,2024
CENTURYPLY,INE348B01021,162,101444.6,118889.55,17444.95,17.1965,0,0,,0,0,0,2024
CMSINFO,INE925R01014,0,0,0,0,0,330.75,298,,118821.1,-20257.6,-17.0488,2024
DREAMFOLKS,INE0JS101016,210,102796.1,88804.8,-13991.3,-13.6107,0,0,,0,0,0,2024
DRREDDY,INE089A01031,8,48568.95,50368,1799.05,3.7041,0,0,,0,0,0,2024
EIDPARRY,INE126A01031,0,0,0,0,0,944.35,263,,171200.05,77164,45.0724,2024
ELECON,INE205B01031,96,62040.8,99641.65,37600.85,60.6066,0,0,,0,0,0,2024
EMSLIMITED,INE0OV601013,30,13055.5,13720.5,665,5.0936,0,0,,0,0,0,2024
FAZE3Q,INE963C01033,5,2371.75,2216.25,-155.5,-6.5563,0,0,,0,0,0,2024
FEDFINA,INE007N01010,0,0,0,0,0,176.4,1311,,148876.49,82383.91,55.3371,2024
FUSION,INE139R01012,70,31858.85,31010,-848.85,-2.6644,0,0,,0,0,0,2024
GANDHAR,INE717W01049,50,10924,10962.5,38.5,0.3524,0,0,,0,0,0,2024
GRAVITA,INE024L01027,34,30298.5,31578.3,1279.8,4.224,0,0,,0,0,0,2024
HOMEFIRST,INE481N01025,0,0,0,0,0,1082.6,200,,177607.1,38912.9,21.9095,2024
IDFCFIRSTB,INE092T01019,208,14726.32,13465.7,-1260.62,-8.5603,0,0,,0,0,0,2024
INE02ID01020,,0,0,0,0,0,0,44,,0,0,0,2024
KEI,INE878B01027,51,120752.8,198588.95,77836.15,64.4591,0,0,,0,0,0,2024
KIRLOSENG,INE146L01010,66,25743.2,63447.05,37703.85,146.4614,1167.1,149,,94869.85,79028.05,83.3015,2024
KPITTECH,INE04I401011,0,0,0,0,0,1179.4,155,,182031.3,775.7,0.4261,2024
LIKHITHA,INE060901027,70,17585.3,24762.5,7177.2,40.8136,0,0,,0,0,0,2024
LIQUIDCASE-F,INF0R8F01034,2250,229906.35,232572.26,2665.91,1.1596,0,0,,0,0,0,2024
LTIM,INE214T01019,3,14110.45,14653.9,543.45,3.8514,0,0,,0,0,0,2024
MASFIN,INE348L01012,0,0,0,0,0,311.15,687,,202149.4,11610.65,5.7436,2024
METROBRAND,INE317I01021,0,0,0,0,0,1101.6,148,,191219.15,-28182.35,-14.7382,2024
MUTHOOTMF,INE046W01019,100,22366,22199.05,-166.95,-0.7464,188.74,618,,140348.8,-23707.48,-16.8918,2024
NH,INE410P01011,31,37472.3,37643.95,171.65,0.4581,0,0,,0,0,0,2024
NUVAMA,INE531F01023,0,0,0,0,0,1435,8,,50301.55,-38821.55,-77.1776,2024
PATANJALI,INE619A01035,107,125376.1,148062.7,22686.6,18.0948,0,0,,0,0,0,2024
PERSISTENT,INE262H01021,0,0,0,0,0,6274,45,,122900,159430,129.7234,2024
PNGJL,INE953R01016,0,0,0,0,0,589.35,85,,59870,-9775.25,-16.3275,2024
POLYCAB,INE455K01017,6,26552.75,39780.6,13227.85,49.8173,0,0,,0,0,0,2024
PSPPROJECT,INE488V01015,93,70145.65,61105.35,-9040.3,-12.8879,0,0,,0,0,0,2024
RAYMOND,INE301A01014,62,108549.8036,115195.35,6645.5464,6.1221,0,0,,0,0,0,2024
RAYMONDLSL,INE02ID01020,0,0,0,0,0,945.1,95,,120454.4464,-30669.9464,-25.4619,2024
RUCHISOYA,INE619A01027,0,0,0,0,0,3.35,400,,2205,-865,-39.229,2024
SAFARI,INE429E01023,10,22510,22130.4,-379.6,-1.6864,2079.5,83,,193121.3,-20522.8,-10.6269,2024
SGBAPR28I-GB,IN0020200062,0,0,0,0,0,16495.41,10,,56300.06,108654.04,192.991,2024
SGBAUG30-GB,IN0020220078,0,0,0,0,0,17465.63,15,,84078.2,177906.25,211.5962,2024
SONACOMS,INE073K01018,0,0,0,0,0,461.7,214,,123532.4,-24728.6,-20.0179,2024
SULA,INE142Q01026,20,10897.6,9550,-1347.6,-12.366,194.5,395,,210208.95,-133381.45,-63.4518,2024
THOMASCOTT,INE480M01011,11,2910,2608.65,-301.35,-10.3557,0,0,,0,0,0,2024
TIPSMUSIC,INE716B01029,25,3835.3,16067.05,12231.75,318.9255,519.25,311,,112196.4,49290.35,43.9322,2024
ABBOTINDIA,INE358A01014,0,0,0,0,0,27899.65,2,,22289.8,33509.5,150.3356,2021
ABCAPITAL,INE674K01013,0,0,0,0,0,358.7,118,,13544.95,28781.65,212.4899,2021
ABFRL,INE647O01011,0,0,0,0,0,72.8,97,,13560.75,-6499.15,-47.9262,2021
ALOKINDS,INE270A01029,0,0,0,0,0,15.82,161,,5294.5,-2747.48,-51.8931,2021
ASIANPAINT,INE021A01026,0,0,0,0,0,2815.35,9,,14557.45,10780.7,74.0562,2021
AUROPHARMA,INE406A01037,0,0,0,0,0,1180.25,1,,664,516.25,77.7485,2021
BILNCD2021-N3,INE216A08027,0,0,0,0,0,30.22,6,,0,181.32,0,2021
BIOCON,INE376G01013,0,0,0,0,0,379.05,1,,349.9,29.15,8.331,2021
BRITANNIA,INE216A01030,0,0,0,0,0,5906.5,6,,16214,19225,118.5704,2021
BRITANNIA-N2,INE216A07052,0,0,0,0,0,32.2,5,,0,161,0,2021
DELTACORP,INE124G01033,25,1609.8,4475,2865.2,177.9848,0,0,,0,0,0,2021
GMBREW,INE075D01018,20,9669.8,11602.35,1932.55,19.9854,0,0,,0,0,0,2021
HDFCLIFE,INE795G01014,0,0,0,0,0,743.2,17,,8830.95,3803.45,43.0695,2021
HINDUNILVR,INE030A01027,0,0,0,0,0,2353.5,4,,6314.2597,3099.7403,49.0911,2021
IDFCFIRSTB,INE092T01019,0,0,0,0,0,83.07,723,,26979.15,33080.46,122.6149,2021
ITC,INE154A01025,0,0,0,0,0,334.75,91,,16917.7,13544.55,80.0614,2021
